census_year,clue_small_area,anzsic_industry,business_size,total_establishments,total_jobs,jobs_suppressed
2003,Melbourne (CBD),"Transport, Postal and Warehousing",Medium business,24,1289,FALSE
2003,Melbourne (CBD),"Transport, Postal and Warehousing",Small business,85,582,FALSE
2003,Melbourne (CBD),Wholesale Trade,Medium business,10,403,FALSE
2003,Melbourne (CBD),Wholesale Trade,Small business,115,447,FALSE
2004,Melbourne (CBD),Accommodation and Food Services,Medium business,153,6926,FALSE
2004,Melbourne (CBD),Accommodation and Food Services,Small business,941,6639,FALSE
2004,Melbourne (CBD),Administrative and Support Services,Medium business,81,3760,FALSE
2004,Melbourne (CBD),Administrative and Support Services,Small business,420,2384,FALSE
2004,Melbourne (CBD),"Agriculture, Forestry and Fishing",Medium business,2,NA,TRUE
2004,Melbourne (CBD),"Agriculture, Forestry and Fishing",Small business,7,13,FALSE
2004,Melbourne (CBD),Arts and Recreation Services,Medium business,22,1056,FALSE
2004,Melbourne (CBD),Arts and Recreation Services,Small business,84,339,FALSE
2004,Melbourne (CBD),Construction,Medium business,12,603,FALSE
2004,Melbourne (CBD),Construction,Small business,56,367,FALSE
2004,Melbourne (CBD),Education and Training,Medium business,42,2414,FALSE
2004,Melbourne (CBD),Education and Training,Small business,103,698,FALSE
2004,Melbourne (CBD),"Electricity, Gas, Water and Waste Services",Medium business,6,348,FALSE
2004,Melbourne (CBD),"Electricity, Gas, Water and Waste Services",Small business,14,99,FALSE
2004,Melbourne (CBD),Financial and Insurance Services,Medium business,144,8172,FALSE
2004,Melbourne (CBD),Financial and Insurance Services,Small business,399,2754,FALSE
2004,Melbourne (CBD),Health Care and Social Assistance,Medium business,16,676,FALSE
2004,Melbourne (CBD),Health Care and Social Assistance,Small business,313,1417,FALSE
2004,Melbourne (CBD),Information Media and Telecommunications,Medium business,41,2369,FALSE
2004,Melbourne (CBD),Information Media and Telecommunications,Small business,150,951,FALSE
2004,Melbourne (CBD),Manufacturing,Medium business,7,319,FALSE
2004,Melbourne (CBD),Manufacturing,Small business,278,902,FALSE
2004,Melbourne (CBD),Mining,Medium business,3,157,FALSE
